Data,Previsao_Notificacoes
2024-06-30,-28.278342447471715
2024-07-31,2.063960719040395
2024-08-31,39.86974320997179
2024-09-30,73.48020990782089
2024-10-31,80.5600706302655
2024-11-30,81.59874703307119
2024-12-31,100.19709183784659
2025-01-31,180.25930528372805
2025-02-28,925.5364701582849
2025-03-31,2071.2730283706924
2025-04-30,1382.0233393635565
2025-05-31,241.67786958528035
2025-06-30,99.25388282484249
2025-07-31,92.11639909211287
2025-08-31,112.11027023247273
2025-09-30,136.510628695225
2025-10-31,132.75633765845208
2025-11-30,128.6031384751814
2025-12-31,145.07823300868546
2026-01-31,229.90686747740114
2026-02-28,910.8651424036857
2026-03-31,1887.5794420436866
2026-04-30,1434.740833071938
2026-05-31,227.20629889416293
2026-06-30,117.55842868571533
2026-07-31,122.92615353861966
2026-08-31,148.85886935489307
2026-09-30,176.32829336491506
2026-10-31,176.1905934855551
2026-11-30,173.7695886056272
2026-12-31,190.95220910018156
2027-01-31,274.18511019494554
2027-02-28,976.6539935368422
2027-03-31,2009.8975379881174
2027-04-30,1477.9903865164424
2027-05-31,292.92714860882535
2027-06-30,172.3171001947589
2027-07-31,173.50234741612834
2027-08-31,197.4487523774254
2027-09-30,223.89168920034868
2027-10-31,222.54439338528965
2027-11-30,219.54404055483533
2027-12-31,236.4900201807763
2028-01-31,320.25661309986066
2028-02-29,1015.5312261782942
2028-03-31,2029.868446020684
2028-04-30,1524.405931182528
2028-05-31,331.82712109585236
2028-06-30,214.8833954784243
2028-07-31,217.46748075984468
2028-08-31,242.0782113504209
2028-09-30,268.864458847342
2028-10-31,267.9217148410282
2028-11-30,265.1151260977329
2028-12-31,282.14025073114885
2029-01-31,365.7283493023767
2029-02-28,1063.4091009512315
2029-03-31,2084.0695801811007
2029-04-30,1569.7626018904925
2029-05-31,379.69739047085363
