Real,Previsto
3,37.19216210943159
0,0.0
0,0.0
633,43.18225415260895
0,0.0
0,18.41825427902586
0,7.595464657011689
1,0.0
3,47.32924095173257
0,20.84005675525077
0,23.48679370017635
2,0.2820041413706349
0,4.252109558758093
0,0.0
0,1.487451692675677
0,30.800254215817404
0,0.0
0,25.3298989442319
3,33.50595162132231
0,15.369701483665267
0,0.0
1,20.78109629467326
0,0.0
0,20.722135834093933
0,41.398109369132726
13,14.389188401059073
2,29.476885743355524
0,12.487122696426013
0,13.869451629467221
164,49.113385735208794
0,0.0
0,12.144267306570327
27,0.0
25,53.26037253433242
0,24.810162172640048
0,9.379609440487911
0,0.0
0,0.0
0,5.173662180786778
10,22.624201538728812
0,13.34971485787537
0,20.663175373516424
0,0.0
1,32.24154360943794
0,11.683490995555985
0,22.22238568829198
0,0.0
0,0.0
0,0.0
37,0.0
0,28.898188511184344
0,10.702977912949791
0,26.192491105681256
2,32.70231992045046
0,12.888938546862846
4,56.025030400414835
0,0.0
0,0.0
0,56.9465830224417
0,7.134688345997347
0,17.15384626714149
294,45.0253593966645
0,6.673912034983005
28,0.0
1,31.780767298423598
0,8.977793590052897
1,27.633780499299974
16,37.652938420444116
0,6.036254342234315
0,4.830806790929273
0,0.0
0,12.02634638541349
341,44.564583085650156
0,22.967056928584498
0,27.97663588915748
